samp,x1,x2,cdf,idx,shape,approach,dtime,pval
5,0.32094890466940174,-0.6956865498805251,0.0495249,"(254, 0)","(1000, 2)",drezner1,0.413485050201416,0.04952295765481082
5,0.32094890466940174,-0.6956865498805251,0.0495249,"(254, 0)","(1000, 2)",drezner2,0.40061402320861816,0.04952295765481082
6,-2.339572477237783,1.7351808579449455,0.0627147,"(357, 1)","(1000, 2)",scipy,0.44460391998291016,0.06270569054606445
6,-2.339572477237783,1.7351808579449455,0.0627147,"(357, 1)","(1000, 2)",cox1,0.7977330684661865,0.06122890020435401
6,-2.339572477237783,1.7351808579449455,0.0627147,"(357, 1)","(1000, 2)",cox2,0.006946086883544922,0.06281680581628168
6,-2.339572477237783,1.7351808579449455,0.0627147,"(357, 1)","(1000, 2)",owen,0.0011630058288574219,0.0627056905460644
6,-2.339572477237783,1.7351808579449455,0.0627147,"(357, 1)","(1000, 2)",drezner1,0.413485050201416,0.06270569054612929
6,-2.339572477237783,1.7351808579449455,0.0627147,"(357, 1)","(1000, 2)",drezner2,0.40061402320861816,0.06270569054605801
7,5.107059205145711,-1.890331832448872,0.0501091,"(374, 1)","(1000, 2)",scipy,0.44460391998291016,0.05011662533842326
7,5.107059205145711,-1.890331832448872,0.0501091,"(374, 1)","(1000, 2)",cox1,0.7977330684661865,0.050114649891783845
7,5.107059205145711,-1.890331832448872,0.0501091,"(374, 1)","(1000, 2)",cox2,0.006946086883544922,0.0501234036627898
7,5.107059205145711,-1.890331832448872,0.0501091,"(374, 1)","(1000, 2)",owen,0.0011630058288574219,0.05011662533842331
7,5.107059205145711,-1.890331832448872,0.0501091,"(374, 1)","(1000, 2)",drezner1,0.413485050201416,0.050116625338423225
7,5.107059205145711,-1.890331832448872,0.0501091,"(374, 1)","(1000, 2)",drezner2,0.40061402320861816,0.050116625338423225
8,-1.5614607677282124,1.7315512472806451,0.1724223,"(423, 1)","(1000, 2)",scipy,0.44460391998291016,0.17236318957538493
8,-1.5614607677282124,1.7315512472806451,0.1724223,"(423, 1)","(1000, 2)",cox1,0.7977330684661865,0.17254411024719907
8,-1.5614607677282124,1.7315512472806451,0.1724223,"(423, 1)","(1000, 2)",cox2,0.006946086883544922,0.17241141168427088
8,-1.5614607677282124,1.7315512472806451,0.1724223,"(423, 1)","(1000, 2)",owen,0.0011630058288574219,0.17236318957538493
8,-1.5614607677282124,1.7315512472806451,0.1724223,"(423, 1)","(1000, 2)",drezner1,0.413485050201416,0.17236318957566388
8,-1.5614607677282124,1.7315512472806451,0.1724223,"(423, 1)","(1000, 2)",drezner2,0.40061402320861816,0.1723631895753851
9,0.7078811791718769,-1.3755131551974162,0.0735874,"(452, 1)","(1000, 2)",scipy,0.44460391998291016,0.07352122381193661
9,0.7078811791718769,-1.3755131551974162,0.0735874,"(452, 1)","(1000, 2)",cox1,0.7977330684661865,0.07349485720759996
9,0.7078811791718769,-1.3755131551974162,0.0735874,"(452, 1)","(1000, 2)",cox2,0.006946086883544922,0.06336407584057568
9,0.7078811791718769,-1.3755131551974162,0.0735874,"(452, 1)","(1000, 2)",owen,0.0011630058288574219,0.07352122381193667
9,0.7078811791718769,-1.3755131551974162,0.0735874,"(452, 1)","(1000, 2)",drezner1,0.413485050201416,0.07353405114416578
9,0.7078811791718769,-1.3755131551974162,0.0735874,"(452, 1)","(1000, 2)",drezner2,0.40061402320861816,0.07352112907984099
10,-1.0673027973232114,-0.5901406456723438,0.031507,"(453, 1)","(1000, 2)",scipy,0.44460391998291016,0.031440992857059195
10,-1.0673027973232114,-0.5901406456723438,0.031507,"(453, 1)","(1000, 2)",cox1,0.7977330684661865,0.03108928979509762
10,-1.0673027973232114,-0.5901406456723438,0.031507,"(453, 1)","(1000, 2)",cox2,0.006946086883544922,0.03138962722449523
10,-1.0673027973232114,-0.5901406456723438,0.031507,"(453, 1)","(1000, 2)",owen,0.0011630058288574219,0.0314409928570592
10,-1.0673027973232114,-0.5901406456723438,0.031507,"(453, 1)","(1000, 2)",drezner1,0.413485050201416,0.03144099285705926
10,-1.0673027973232114,-0.5901406456723438,0.031507,"(453, 1)","(1000, 2)",drezner2,0.40061402320861816,0.03144099285705926
11,0.20392933980537942,-1.549651514235366,0.1603073,"(457, 0)","(1000, 2)",scipy,0.44460391998291016,0.1601444781750098
11,0.20392933980537942,-1.549651514235366,0.1603073,"(457, 0)","(1000, 2)",cox1,0.7977330684661865,0.15901259805227708
11,0.20392933980537942,-1.549651514235366,0.1603073,"(457, 0)","(1000, 2)",cox2,0.006946086883544922,0.15962702346490143
11,0.20392933980537942,-1.549651514235366,0.1603073,"(457, 0)","(1000, 2)",owen,0.0011630058288574219,0.16014447817500982
11,0.20392933980537942,-1.549651514235366,0.1603073,"(457, 0)","(1000, 2)",drezner1,0.413485050201416,0.16014447817523725
11,0.20392933980537942,-1.549651514235366,0.1603073,"(457, 0)","(1000, 2)",drezner2,0.40061402320861816,0.1601444781750081
12,-0.5676208750225188,1.8345444411530465,0.2591268,"(480, 0)","(1000, 2)",scipy,0.44460391998291016,0.2591719740726663
